DataHora,Jogador,ATT,TEC,TAC,DEF,CRE,Aba,Ano_Temporada,Competicao,Categoria,Colunas_Metricas,Valores
2026-09-15T18:15:55.530Z,André Clóvis,66,50,51,38,38,Temporada,26/27,Liga Portugal Betclic,Atacando,Gols | Gols esperados (xG) | Frequência de gols (em minutos) | Gols por partida | Finalizações | Chutes certos por jogo | Grandes chances perdidas | Conversão de gols | Gols de pênalti | Conversão de pênaltis | Gols de falta | Eficácia de gols de falta | Gols de dentro da área | Gols de fora da área | Gols de cabeça | Gols com a perna esquerda | Gols com a perna direita | Pênalti sofrido,2 | 1.78 | 229min | 0.3 | 1.8 | 0.8 | 2 | 18% | 0/0 | 0% | 0/0 | 0% | 2/10 | 0/1 | 1 | 0 | 1 | 0
2026-09-15T18:15:55.598Z,André Clóvis,66,50,51,38,38,Temporada,26/27,Liga Portugal Betclic,Passe,Assistências | Assistências Esperadas (xA) | Ações com a bola | Grandes chances criadas | Passes decisivos | Passes certos | Passes no próprio campo | Passes certos no terço final | Bolas longas (certos) | Passes tensos certos | Cruzamentos certos,0 | 0.07 | 18.0 | 0 | 0.3 | 5.7 (71%) | 2.2 (76%) | 3.5 (68%) | 0.3 (50%) | 0.3 (40%) | 0.0 (0%)
2026-09-15T18:15:55.650Z,André Clóvis,66,50,51,38,38,Temporada,26/27,Liga Portugal Betclic,Defendendo,Interceptações | Desarmes por jogo | Bolas recuperadas no ataque | Bolas recuperadas por jogo | Driblado por jogo | Cortes por jogo | Chutes bloqueados por jogo | Erros que levaram à finalização | Erros que levaram ao gol | Pênaltis cometidos,0.2 | 0.2 | 0.2 | 1.2 | 0.2 | 0.8 | 0.0 | 0 | 0 | 0
2026-09-15T18:15:55.733Z,André Clóvis,66,50,51,38,38,Temporada,26/27,Liga Portugal Betclic,Outros (por partida),Dribles certos | Disputas de bola vencidas | Duelos ganhos pelo chão | Duelos aéreos ganhos | Perda da posse de bola | Faltas por jogo | Faltas sofridas | Impedimentos,0.2 (50%) | 2.2 (28%) | 1.3 (32%) | 0.8 (23%) | 6.2 | 1.0 | 1.2 | 0.5
2026-09-15T18:15:55.779Z,André Clóvis,66,50,51,38,38,Temporada,26/27,Liga Portugal Betclic,Cartões,Amarelo | Vermelho (2 amarelos) | Verm.,1 | 0 | 0
2026-09-15T18:16:01.276Z,Thauan Lara,59,60,52,43,57,Temporada,26/27,Liga Portugal 2,Resumo da Temporada,JOGOS | MINUTOS POR JOGO | GOLS | ASSISTÊNCIAS,3 | 10 | 0 | 0
2026-09-15T18:16:01.346Z,Thauan Lara,59,60,52,43,57,Temporada,26/27,Liga Portugal 2,Partidas,Temporada | tournaments | seasons | JOGOS | MINUTOS POR JOGO | GOLS | ASSISTÊNCIAS | Média das notas Sofascore | Mapa de calor da temporada | 3 | 0 | 10 | 29 | 0 | Velocidade máxima | Atacando | 0 | 0min | 0.0 | 0.3 | 0.3 | 0 | 0% | 0/0 | 0% | 0/0 | 0% | 0/1 | 0/0 | 0 | 0 | 0 | 0 | Assistências | Ações com a bola | Grandes chances criadas | Passes decisivos | Passes certos | Passes no próprio campo | Passes certos no terço final | Bolas longas (certos) | Passes tensos certos | Cruzamentos certos | Defendendo | 0 | 0.0 | 0.3 | 0.0 | 0.7 | 0.0 | 0.3 | 0.0 | 0 | 0 | 0 | Dribles certos | Disputas de bola vencidas | Duelos ganhos pelo chão | Duelos aéreos ganhos | Perda da posse de bola | Faltas por jogo | Faltas sofridas | Impedimentos | Cartões | 0 | 0,Carreira | Liga Portugal 2 | 26/27 | 3 | 10 | 0 | 0 | 29 de ago. | Jogos | Titular | Minutos por jogo | Total de minutos jogados | Time da semana | Desempenho de corrida (por 90) | 31.5 km/h | Gols | Frequência de gols (em minutos) | Gols por partida | Finalizações | Chutes certos por jogo | Grandes chances perdidas | Conversão de gols | Gols de pênalti | Conversão de pênaltis | Gols de falta | Eficácia de gols de falta | Gols de dentro da área | Gols de fora da área | Gols de cabeça | Gols com a perna esquerda | Gols com a perna direita | Pênalti sofrido | Passe | 0 | 6.3 | 0 | 0.3 | 1.0 (100%) | 0.0 | 1.0 (100%) | 0.3 (100%) | 0.0 | 0.3 (33%) | Jogos sem sofrer gols | Interceptações | Desarmes por jogo | Bolas recuperadas no ataque | Bolas recuperadas por jogo | Driblado por jogo | Cortes por jogo | Chutes bloqueados por jogo | Erros que levaram à finalização | Erros que levaram ao gol | Pênaltis cometidos | Outros (por partida) | 0.3 (100%) | 2.0 (100%) | 2.0 (100%) | 0.0 | 1.7 | 0.0 | 1.3 | 0.0 | Amarelo | Vermelho (2 amarelos) | Verm.
2026-09-15T18:16:01.429Z,Thauan Lara,59,60,52,43,57,Temporada,26/27,Liga Portugal 2,Desempenho de corrida (por 90),Velocidade máxima,31.5 km/h
2026-09-15T18:16:01.493Z,Thauan Lara,59,60,52,43,57,Temporada,26/27,Liga Portugal 2,Atacando,Gols | Frequência de gols (em minutos) | Gols por partida | Finalizações | Chutes certos por jogo | Grandes chances perdidas | Conversão de gols | Gols de pênalti | Conversão de pênaltis | Gols de falta | Eficácia de gols de falta | Gols de dentro da área | Gols de fora da área | Gols de cabeça | Gols com a perna esquerda | Gols com a perna direita | Pênalti sofrido,0 | 0min | 0.0 | 0.3 | 0.3 | 0 | 0% | 0/0 | 0% | 0/0 | 0% | 0/1 | 0/0 | 0 | 0 | 0 | 0
2026-09-15T18:16:01.572Z,Thauan Lara,59,60,52,43,57,Temporada,26/27,Liga Portugal 2,Passe,Assistências | Ações com a bola | Grandes chances criadas | Passes decisivos | Passes certos | Passes no próprio campo | Passes certos no terço final | Bolas longas (certos) | Passes tensos certos | Cruzamentos certos,0 | 6.3 | 0 | 0.3 | 1.0 (100%) | 0.0 | 1.0 (100%) | 0.3 (100%) | 0.0 | 0.3 (33%)
