DataHora,Jogador,Categoria,Ano_Temporada,Competicao,Colunas_Metricas,Valores
2026-09-15T18:18:39.367Z,André Clóvis,Passe,24/25,Total do Ano,MP | APS | APS% | ALB | LBA% | ACR | CA%,32 | 197 | 65.4 | 5 | 35.7 | 4 | 26.7
2026-09-15T18:18:39.414Z,André Clóvis,Passe,24/25,Liga Portugal 2,MP | APS | APS% | ALB | LBA% | ACR | CA%,32 | 197 | 65.4 | 5 | 35.7 | 4 | 26.7
2026-09-15T18:18:39.462Z,André Clóvis,Passe,23/24,Total do Ano,MP | APS | APS% | ALB | LBA% | ACR | CA%,33 | 256 | 63.2 | 7 | 31.8 | 2 | 15.4
2026-09-15T18:18:39.508Z,André Clóvis,Passe,23/24,Liga Portugal 2,MP | APS | APS% | ALB | LBA% | ACR | CA%,33 | 256 | 63.2 | 7 | 31.8 | 2 | 15.4
2026-09-15T18:18:39.559Z,André Clóvis,Passe,22/23,Total do Ano,MP | APS | APS% | ALB | LBA% | ACR | CA%,4 | 35 | 56.5 | 2 | 33.3 | 0 | -
2026-09-15T18:18:39.606Z,André Clóvis,Passe,22/23,Liga Portugal 2,MP | APS | APS% | ALB | LBA% | ACR | CA%,2 | 19 | 51.4 | 1 | 20.0 | - | -
2026-09-15T18:18:39.641Z,André Clóvis,Passe,22/23,Taça da Liga,MP | APS | APS% | ALB | LBA% | ACR | CA%,2 | 16 | 64.0 | 1 | 100.0 | 0 | -
2026-09-15T18:18:39.693Z,André Clóvis,Passe,21/22,Total do Ano,MP | APS | APS% | ALB | LBA% | ACR | CA%,23 | 96 | 71.1 | 2 | 50.0 | 3 | 60.0
2026-09-15T18:18:39.739Z,André Clóvis,Passe,21/22,Liga Portugal Betclic,MP | APS | APS% | ALB | LBA% | ACR | CA%,23 | 96 | 71.1 | 2 | 50.0 | 3 | 60.0
2026-09-15T18:18:39.796Z,André Clóvis,Passe,20/21,Total do Ano,MP | APS | APS% | ALB | LBA% | ACR | CA%,1 | 7 | 70.0 | 1 | 100.0 | - | -
2026-09-15T18:18:39.846Z,André Clóvis,Passe,20/21,Taça de Portugal,MP | APS | APS% | ALB | LBA% | ACR | CA%,1 | 7 | 70.0 | 1 | 100.0 | - | -
2026-09-15T18:18:40.699Z,André Clóvis,Defendendo,26/27,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,6 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | - | 5
2026-09-15T18:18:40.750Z,André Clóvis,Defendendo,26/27,Liga Portugal Betclic,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,6 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | - | 5
2026-09-15T18:18:40.804Z,André Clóvis,Defendendo,25/26,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,34 | 13 | 3 | 0 | 0 | 6 | 7 | 2 | 1 | 58
2026-09-15T18:18:40.853Z,André Clóvis,Defendendo,25/26,Liga Portugal 2,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,34 | 13 | 3 | 0 | 0 | 6 | 7 | 2 | 1 | 58
2026-09-15T18:18:40.905Z,André Clóvis,Defendendo,24/25,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,32 | 1 | 3 | 1 | 0 | 9 | 11 | 5 | - | 41
