DataHora,Jogador,Categoria,Ano_Temporada,Competicao,Colunas_Metricas,Valores
2026-09-15T12:31:07.767Z,André Clóvis,Adicional,26/27,Total do Ano,MP | GLS | XG | AST | XA | GI | XGI,6 | 2 | 1.78 | 0 | 0.07 | 2 | 1.85
2026-09-15T12:31:07.817Z,André Clóvis,Adicional,26/27,Liga Portugal Betclic,MP | GLS | XG | AST | XA | GI | XGI,6 | 2 | 1.78 | 0 | 0.07 | 2 | 1.85
2026-09-15T12:31:07.873Z,André Clóvis,Adicional,25/26,Total do Ano,MP | GLS | XG | AST | XA | GI | XGI,34 | 23 | - | 2 | - | 25 | -
2026-09-15T12:31:07.912Z,André Clóvis,Adicional,25/26,Liga Portugal 2,MP | GLS | XG | AST | XA | GI | XGI,34 | 23 | - | 2 | - | 25 | -
2026-09-15T12:31:07.955Z,André Clóvis,Adicional,24/25,Total do Ano,MP | GLS | XG | AST | XA | GI | XGI,32 | 7 | - | 1 | - | 8 | -
2026-09-15T12:31:08.006Z,André Clóvis,Adicional,24/25,Liga Portugal 2,MP | GLS | XG | AST | XA | GI | XGI,32 | 7 | - | 1 | - | 8 | -
2026-09-15T12:31:08.053Z,André Clóvis,Adicional,23/24,Total do Ano,MP | GLS | XG | AST | XA | GI | XGI,33 | 12 | - | 0 | - | 12 | -
2026-09-15T12:31:08.084Z,André Clóvis,Adicional,23/24,Liga Portugal 2,MP | GLS | XG | AST | XA | GI | XGI,33 | 12 | - | 0 | - | 12 | -
2026-09-15T12:31:08.150Z,André Clóvis,Adicional,22/23,Total do Ano,MP | GLS | XG | AST | XA | GI | XGI,4 | 3 | - | 0 | - | 3 | -
2026-09-15T12:31:08.181Z,André Clóvis,Adicional,22/23,Liga Portugal 2,MP | GLS | XG | AST | XA | GI | XGI,2 | 3 | - | 0 | - | 3 | -
2026-09-15T12:31:08.230Z,André Clóvis,Adicional,22/23,Taça da Liga,MP | GLS | XG | AST | XA | GI | XGI,2 | 0 | - | 0 | - | 0 | -
2026-09-15T12:31:08.283Z,André Clóvis,Adicional,21/22,Total do Ano,MP | GLS | XG | AST | XA | GI | XGI,23 | 1 | - | 1 | - | 2 | -
2026-09-15T12:31:08.325Z,André Clóvis,Adicional,21/22,Liga Portugal Betclic,MP | GLS | XG | AST | XA | GI | XGI,23 | 1 | - | 1 | - | 2 | -
2026-09-15T12:31:12.874Z,Thauan Lara,Geral,26/27,Total do Ano,MP | MIN | GLS | AST | ASR,3 | 29 | 0 | 0 | 6.70
2026-09-15T12:31:12.926Z,Thauan Lara,Geral,26/27,Liga Portugal 2,MP | MIN | GLS | AST | ASR,3 | 29 | 0 | 0 | 6.70
2026-09-15T12:31:12.986Z,Thauan Lara,Geral,25/26,Total do Ano,MP | MIN | GLS | AST | ASR,21 | 1340 | 2 | 3 | 6.89
2026-09-15T12:31:13.018Z,Thauan Lara,Geral,25/26,Liga Portugal 2,MP | MIN | GLS | AST | ASR,18 | 1122 | 2 | 3 | 6.89
